Employee_ID,Name,Department,Salary,Experience,City,Joining_Date,Performance_Rating
70,Faqid Savant,Sales,647347,4,Hyderabad,2021-04-10,4
71,Chandresh Zachariah,HR,464309,0,Bengaluru,2013-02-15,3
72,Girik Khalsa,Marketing,1068795,11,Mumbai,2010-07-16,5
73,Niharika Sunder,Marketing,1079509,10,Delhi,2015-10-13,3
74,Tanay Rattan,Operations,629139,2,Delhi,2020-01-08,3
75,Nitesh Raghavan,HR,814669,5,Mumbai,2020-07-23,5
76,Madhavi Lanka,Marketing,777830,6,Delhi,2015-03-14,3
77,Bhavika Sampath,Finance,982241,7,Mumbai,2016-02-26,3
78,Mohammed Gupta,Finance,693720,2,Mumbai,2009-04-24,4
79,Teerth Bhardwaj,Sales,920696,7,Chennai,2005-11-21,4
80,Dipta Bhandari,HR,527577,1,Kolkata,2002-10-18,4
81,Vansha Thakkar,IT,847816,3,Chennai,2022-02-16,4
82,Dakshesh Trivedi,Finance,541678,1,Mumbai,2023-11-16,4
83,Quincy Biswas,IT,733192,1,Kolkata,2020-10-08,3
84,Wahab Raval,Marketing,1156346,13,Chennai,2012-11-16,4
85,Yatin Baral,Operations,515765,1,Kolkata,2025-07-11,4
86,Oni Virk,Marketing,680166,4,Mumbai,2020-11-03,4
87,Advika Jayaraman,Finance,1254371,12,Delhi,2013-04-29,4
88,William Lanka,Marketing,569307,1,Bengaluru,2023-06-09,4
89,Karan Mital,HR,768977,5,Bengaluru,2013-11-20,2
90,Diya Bora,HR,542380,2,Bengaluru,2018-11-18,3
91,Tara Chaudhry,Sales,386322,0,Chennai,2026-01-15,4
92,Tanay Toor,Finance,2082450,24,Hyderabad,2002-07-30,1
93,Kevin Palla,Sales,863471,6,Mumbai,2015-02-04,4
94,Yash Pingle,Marketing,1254398,15,Hyderabad,2011-08-05,3
95,Nakul Sarma,Finance,905639,6,Pune,2016-10-11,3
96,Abhiram Mistry,HR,505161,0,Kolkata,2025-08-29,4
97,Krish Lalla,IT,607767,1,Bengaluru,2020-12-04,3
98,Hredhaan Dugal,Sales,1238413,14,Pune,2011-03-12,4
99,Baghyawati Kade,Sales,588654,2,Bengaluru,2020-08-10,4
100,Samar Lalla,IT,716896,3,Pune,2017-05-25,5
101,Zayan Behl,IT,866066,7,Kolkata,2003-02-03,2
102,Pallavi Malhotra,HR,407138,0,Hyderabad,2022-12-10,4
103,Aarush Nath,Sales,602634,3,Bengaluru,2009-03-24,3
104,Adweta Edwin,Sales,832564,6,Bengaluru,2018-07-15,3
105,Prisha Andra,Operations,476903,1,Pune,2012-08-04,4
106,Faqid Dixit,IT,1299312,11,Mumbai,2003-07-17,3
107,Kala Divan,Marketing,528503,0,Bengaluru,2017-01-02,3
108,Joshua Barman,Sales,475443,1,Mumbai,2022-04-28,3
109,Janya Baral,Operations,1020451,9,Hyderabad,2013-10-25,3
110,Shivansh Krish,Operations,617938,5,Delhi,2013-09-27,4
111,Irya Ray,HR,785157,4,Hyderabad,2022-07-18,3
112,Warjas Gaba,Finance,627557,2,Delhi,2016-04-12,4
113,Nitara Bakshi,Sales,1054206,9,Kolkata,2014-03-30,1
114,Gaurangi Sabharwal,HR,936707,7,Hyderabad,2005-07-16,3
115,Amara Dutta,HR,533575,3,Bengaluru,2023-01-21,3
116,Lavanya Barad,Finance,869475,4,Delhi,2012-08-12,3
117,Tristan Iyengar,Marketing,960933,6,Delhi,2017-02-13,3
118,Inaya Mody,Finance,723382,4,Bengaluru,2013-11-07,4
119,Udant Bajwa,Sales,1740497,17,Chennai,2007-01-23,2
120,Mohini Narasimhan,Operations,622042,2,Pune,2023-06-03,3
121,Ekaraj Mallick,Sales,757875,6,Delhi,2006-03-18,2
122,Yashodhara Ratta,IT,511931,0,Bengaluru,2025-08-29,3
123,Ayaan D’Alia,Operations,1058630,15,Kolkata,2007-05-13,3
124,Pranav Lanka,Finance,565550,2,Delhi,2021-06-16,5
125,Ikbal Saraf,Finance,695168,2,Bengaluru,2006-10-26,3
126,Dipta Sarin,Operations,677097,4,Delhi,2004-02-08,2
127,Lekha Gupta,HR,1505771,17,Kolkata,2007-01-05,4
128,Chaitanya Sarin,HR,525818,1,Delhi,2025-02-20,4
129,Zinal Yohannan,Finance,1053930,9,Kolkata,2015-05-26,5
130,Januja Sankar,IT,995153,6,Bengaluru,2011-01-08,2
131,Ganga Murthy,HR,350701,0,Hyderabad,2026-06-17,3
132,Charita Tripathi,Marketing,552818,2,Delhi,2022-10-12,4
133,Nilima Narain,Operations,391190,0,Delhi,2022-01-24,4
134,Chakrika Datta,Operations,1106633,13,Chennai,2010-07-29,4
135,Osha Raghavan,Sales,507403,2,Pune,2008-01-30,3
136,Charvi Ravi,Operations,796384,7,Mumbai,2014-08-24,3
137,Daksha Mangat,Finance,1080997,8,Hyderabad,2013-11-29,2
138,Qushi Nagy,IT,936064,5,Delhi,2021-01-29,1
139,Riya Sathe,HR,2029346,24,Kolkata,2002-08-18,1
140,Yasti Solanki,HR,559918,3,Kolkata,2022-10-21,3
141,Frado Mander,Finance,1403061,15,Delhi,2005-10-16,3
142,Girik Keer,IT,1266722,10,Hyderabad,2008-11-29,3
143,Umang Issac,Finance,473084,0,Delhi,2026-05-17,3
144,Aryan Batra,IT,871473,6,Mumbai,2019-10-31,4
145,Vaishnavi Bora,Finance,585905,0,Delhi,2020-03-27,4
146,Oeshi Hayer,Finance,520007,0,Kolkata,2021-07-12,2
147,Warda Ratta,Sales,706246,5,Bengaluru,2021-05-09,5
148,Manbir Ahluwalia,Marketing,1033540,11,Kolkata,2012-06-07,1
149,Pavani Kanda,Finance,911984,7,Bengaluru,2005-11-18,4
150,Zarna Shetty,HR,592523,2,Mumbai,2024-01-21,3
151,Zaid Dara,Finance,654477,1,Chennai,2022-11-18,3
152,Kiaan Shetty,Marketing,517246,2,Delhi,2024-07-01,4
153,Saanvi Thaman,Finance,880704,8,Delhi,2016-12-11,4
154,Sanaya Dutt,Marketing,600817,1,Hyderabad,2023-08-31,3
155,Shivani Lad,Marketing,484352,0,Pune,2026-01-28,2
156,Aradhana Verma,Operations,909167,9,Pune,2012-05-30,4
157,William Maharaj,IT,1076693,7,Hyderabad,2015-12-22,5
158,Faras Mangal,Operations,1056289,15,Kolkata,2008-07-10,5
159,Anita Nayak,Sales,1183612,14,Hyderabad,2006-03-15,1
160,Faris Devi,HR,789194,6,Bengaluru,2020-02-03,3
161,Vihaan Rajagopal,Sales,1083479,9,Mumbai,2016-11-19,2
162,Tanish Bhatt,Sales,589687,1,Mumbai,2025-08-20,4
163,Nikita Narayanan,Finance,467936,0,Chennai,2025-12-20,4
164,Ojasvi Bhatia,Sales,1011334,11,Bengaluru,2011-11-27,4
165,Osha Ramachandran,Operations,1218242,14,Delhi,2006-03-17,5
166,Lajita Sood,IT,593969,0,Delhi,2016-04-01,3
167,Indira Misra,HR,592273,1,Pune,2025-07-11,2
168,Oni Yohannan,HR,1605618,19,Mumbai,2005-03-29,3
169,Vinaya Kanda,Marketing,987992,7,Delhi,2008-02-13,3
170,Rajata Sunder,Operations,1269581,14,Kolkata,2002-02-13,2
171,Lopa Nayar,Finance,1110711,9,Hyderabad,2017-03-14,4
172,Noah Sibal,Finance,749485,3,Bengaluru,2015-04-02,3
173,Avi Ramesh,Marketing,749044,4,Bengaluru,2017-10-20,5
174,Fiyaz Sangha,Operations,659414,4,Pune,2019-06-15,4
175,Triya Gopal,Operations,1779137,19,Pune,2003-11-25,5
176,Abha Raghavan,Sales,936306,9,Mumbai,2012-01-09,2
177,Siddharth Sha,Sales,736114,3,Bengaluru,2007-11-01,3
178,Geetika Raghavan,Finance,1667173,18,Chennai,2003-03-13,2
179,Oviya Krishnan,Sales,727167,6,Chennai,2016-05-09,4
180,Upma Bahl,Sales,487754,1,Pune,2025-07-06,5
181,Inaya Kapur,Sales,450085,1,Chennai,2016-11-22,4
182,Banjeet Balasubramanian,HR,693230,5,Bengaluru,2019-07-12,3
183,Ryan Bahri,IT,830442,2,Mumbai,2022-02-06,3
184,William Date,Finance,578408,1,Hyderabad,2018-05-13,1
185,Ishwar Kamdar,Marketing,1040055,9,Bengaluru,2016-05-31,4
186,Aahana Pillay,Finance,1064375,10,Chennai,2015-04-04,1
187,Ishwar Gade,IT,867113,7,Chennai,2015-05-09,4
188,Hritik Bal,HR,925862,7,Mumbai,2019-02-18,4
189,Keya Ranganathan,Marketing,867761,4,Chennai,2020-07-01,4
190,Faqid Kibe,Operations,1414580,15,Delhi,2006-02-21,1
191,Charvi Dara,Sales,1265889,14,Pune,2011-06-12,3
192,Idika Walia,Operations,953056,8,Bengaluru,2018-03-06,3
193,Kamala Biswas,HR,1195782,14,Chennai,2007-03-07,4
194,Advik Salvi,Marketing,519778,1,Chennai,2002-08-28,4
195,Hitesh Sant,HR,1384112,17,Chennai,2004-10-11,4
196,Tripti Dua,HR,479801,2,Delhi,2016-06-09,4
197,Patrick Vig,HR,1300364,17,Bengaluru,2007-07-13,4
198,Veda Shroff,IT,562372,0,Kolkata,2007-08-12,3
199,Amrita Naidu,HR,544436,0,Hyderabad,2013-08-08,3
200,Gabriel Mallick,Operations,1320241,15,Kolkata,2004-07-20,3
201,Yagnesh Shetty,Finance,461367,0,Mumbai,2024-04-19,4
202,Gayathri Balakrishnan,Operations,558656,1,Bengaluru,2025-02-02,2
203,Ekta Gopal,Finance,680747,3,Hyderabad,2019-09-19,4
204,Simon Pant,Finance,720569,2,Chennai,2004-12-30,2
205,Harini Mammen,Sales,526602,0,Kolkata,2026-04-19,3
206,Advaith Varughese,Marketing,429992,0,Pune,2020-12-30,4
207,Frederick Khurana,Marketing,1237246,13,Hyderabad,2011-05-06,3
208,Vrinda Khosla,Finance,888368,6,Delhi,2019-08-02,3
209,Vritti Sem,Operations,760051,5,Hyderabad,2013-02-18,2
210,Girik Menon,IT,1321321,13,Mumbai,2005-11-18,3
211,Nidhi Kohli,HR,497216,0,Kolkata,2026-08-28,3
212,Jyoti Solanki,IT,830284,2,Hyderabad,2020-02-16,4
213,Pavani Narayanan,Operations,993972,9,Delhi,2004-01-03,2
214,Sudiksha Madan,Marketing,792479,4,Chennai,2011-03-30,4
215,Zayan Kashyap,Sales,569912,0,Delhi,2026-08-26,3
216,Reyansh Mutti,Finance,622446,0,Pune,2026-09-03,4
217,Qasim Handa,IT,1244069,8,Delhi,2009-10-16,5
218,Veda Malhotra,Sales,766927,5,Mumbai,2001-12-22,3
219,Harish Hari,HR,627958,2,Chennai,2003-01-28,3
220,Utkarsh Patel,Finance,645943,2,Mumbai,2016-12-28,3
221,Chasmum Atwal,Marketing,491362,1,Pune,2005-07-05,4
222,Anusha Bath,Operations,979675,8,Hyderabad,2005-05-11,3
223,Brinda Date,Finance,752029,2,Kolkata,2020-04-11,2
224,Harshil Arora,Finance,1232868,9,Kolkata,2006-09-03,3
225,Upasna Srinivas,Operations,433615,0,Kolkata,2015-07-15,2
226,Harini Gour,HR,565470,3,Delhi,2015-03-22,3
227,Zayyan Sridhar,IT,664279,2,Chennai,2024-01-05,3
228,Dhruv Rattan,Operations,1011588,8,Pune,2012-01-09,3
229,Ethan Bera,Finance,1163503,13,Bengaluru,2003-08-07,4
230,Manthan Modi,Marketing,818998,4,Mumbai,2020-12-15,3
231,Yuvraj Dani,IT,545055,0,Pune,2019-11-14,5
232,Upkaar Virk,Finance,537061,1,Chennai,2017-12-06,3
233,Shravya Savant,Finance,531336,0,Mumbai,2025-03-15,3
234,Pushti Mody,Sales,659450,2,Bengaluru,2009-03-29,3
235,Hardik Johal,HR,863369,5,Pune,2017-05-16,2
236,Aishani Bumb,IT,957193,8,Kolkata,2008-04-08,2
237,Wriddhish Ghose,Operations,787409,5,Hyderabad,2005-01-29,4
238,Naksh Agate,Marketing,830815,4,Kolkata,2021-11-01,3
239,Shravya Singhal,Operations,466720,2,Hyderabad,2015-11-18,3
240,Bachittar Kata,Sales,883819,9,Kolkata,2014-01-08,2
241,Barkha Setty,Finance,546662,0,Pune,2021-12-21,3
242,Vivaan Lalla,Operations,1687778,19,Hyderabad,2005-10-01,3
243,Pavani Contractor,Marketing,1463123,14,Chennai,2003-07-17,3
244,Manthan Lata,Finance,568101,0,Bengaluru,2024-03-10,4
245,Ekbal Bhasin,Sales,1473987,16,Bengaluru,2005-06-25,3
246,Damyanti Mani,Finance,858372,4,Chennai,2021-05-30,3
247,Jeet Sidhu,Sales,884490,6,Kolkata,2019-01-29,2
248,Neha Magar,Operations,410577,1,Kolkata,2016-09-16,4
249,Raksha Buch,Sales,1259648,11,Pune,2013-01-01,2
250,Rachana Naidu,IT,1278795,11,Mumbai,2008-01-17,4
251,Atharv Chand,HR,1018570,9,Mumbai,2005-07-02,4
252,Ansh Luthra,HR,525756,0,Hyderabad,2025-04-24,3
253,Parth Singhal,IT,759773,4,Delhi,2017-12-18,5
254,Arunima Golla,Finance,837166,7,Bengaluru,2010-04-24,3
255,Vyanjana Chand,IT,776433,2,Bengaluru,2024-06-21,4
256,Ijaya Rege,Marketing,1529972,19,Chennai,2007-07-31,2
257,Ekani Cheema,Operations,1087738,14,Delhi,2009-02-15,4
258,Forum Sabharwal,HR,764578,4,Mumbai,2021-08-16,4
259,Bhavya Rattan,HR,472949,0,Pune,2025-08-27,2
260,Suhani Chakrabarti,Operations,592804,3,Kolkata,2021-06-18,3
261,Zayyan Naik,HR,576446,4,Mumbai,2010-08-28,3
262,Netra Varkey,Sales,505242,0,Pune,2026-07-29,2
263,Turvi Sachdev,IT,1112356,8,Chennai,2008-11-21,4
264,Raghav Vasa,IT,1297361,14,Hyderabad,2011-08-29,2
265,Wishi Sathe,Marketing,594351,3,Delhi,2018-06-22,3
266,Samar Loke,Sales,1528005,20,Chennai,2006-02-22,1
267,Bhavna Sarma,Finance,1506794,15,Bengaluru,2007-12-04,5
268,Jairaj Balakrishnan,IT,793562,3,Mumbai,2013-03-07,4
269,Nathan Mukhopadhyay,Finance,1004018,9,Bengaluru,2006-09-08,1
270,Nikita Chander,Finance,581027,0,Kolkata,2022-03-16,3
271,Ishaan Shenoy,Operations,367637,0,Delhi,2024-10-25,3
272,Mitesh Tara,Marketing,700297,3,Chennai,2017-07-11,4
273,Yashodhara Mahajan,IT,685120,1,Kolkata,2025-03-07,3
274,Vasudha Sodhi,Marketing,523243,0,Bengaluru,2026-07-23,4
275,Tanmayi Dhillon,Sales,964462,11,Pune,2013-01-28,2
276,Rayaan Trivedi,HR,1791978,18,Delhi,2006-05-08,2
277,Ekaraj Majumdar,Sales,415898,0,Pune,2026-03-11,4
278,Harini Tripathi,Finance,515959,1,Mumbai,2023-03-02,4
279,Aarnav Mandal,Finance,925928,9,Pune,2003-05-11,2
280,Vrishti Dixit,IT,851944,4,Pune,2015-11-09,3
281,Veda Pai,Sales,1470242,20,Delhi,2003-05-05,4
282,Krishna Shah,IT,792786,4,Hyderabad,2016-08-03,4
283,Ranbir Khare,Operations,547300,3,Hyderabad,2021-06-04,4
284,Vivaan Roy,Sales,608307,1,Hyderabad,2024-12-28,2
285,Eesha Solanki,Marketing,926620,9,Bengaluru,2009-10-17,3
286,Libni Doshi,Sales,1011353,7,Hyderabad,2015-06-13,2
287,Balhaar Date,Finance,965239,7,Pune,2017-06-20,5
288,Harish Sarraf,Marketing,546944,2,Bengaluru,2021-03-18,4
289,Tanmayi Aurora,Finance,1184679,8,Chennai,2017-12-30,5
290,Nimrat Dubey,HR,367624,0,Chennai,2021-05-10,4
291,Upasna Lanka,Sales,760011,6,Kolkata,2017-12-11,2
292,Mitali Buch,Finance,767890,5,Kolkata,2018-05-04,2
293,Lajita Nadig,Sales,774476,5,Chennai,2019-07-22,5
294,Balendra Biswas,IT,1530921,15,Kolkata,2010-01-17,2
295,Bhavna Karan,Sales,509911,1,Mumbai,2021-09-19,5
296,Radha Chaudhari,Finance,617753,3,Hyderabad,2010-09-05,2
297,Sachi Ganesan,Operations,413778,0,Mumbai,2021-08-31,3
298,Ayush Batra,IT,541289,0,Mumbai,2026-05-16,4
299,Daksh Memon,Operations,1067153,11,Bengaluru,2009-07-05,5
300,Kavya Sankar,HR,1091146,12,Delhi,2012-04-26,3
301,Yash Wali,Sales,727426,4,Bengaluru,2022-08-31,2
302,Pranit Garde,Finance,775954,3,Bengaluru,2023-03-04,2
303,Farhan Raja,Sales,1391982,14,Kolkata,2005-01-10,3
304,Widisha Dhar,Marketing,768526,4,Pune,2009-11-11,2
305,Triya Kumar,IT,543163,0,Chennai,2024-12-09,3
306,Aadhya Andra,Operations,714476,5,Pune,2011-10-25,2
307,Bhavna Dugar,HR,513845,0,Delhi,2026-05-29,4
308,Riya Pai,IT,756189,2,Kolkata,2024-03-30,2
309,Panini Krishna,Operations,754578,9,Bengaluru,2016-11-04,1
310,Chasmum Issac,Operations,999052,10,Hyderabad,2013-07-28,4
311,Vasudha Chhabra,IT,701689,2,Mumbai,2024-01-15,5
312,Lakshmi Parmer,Finance,1365794,12,Delhi,2012-09-07,3
313,Chakrika Bains,Operations,735972,5,Hyderabad,2004-05-21,3
314,Anvi Anand,Sales,1139096,10,Mumbai,2008-02-22,5
315,Watika Mangat,Sales,606984,2,Kolkata,2019-08-02,3
316,Indira Kanda,Sales,783214,7,Hyderabad,2012-07-17,3
317,Zashil Devan,IT,1179600,9,Hyderabad,2003-12-21,3
318,Balveer More,HR,1049637,9,Chennai,2016-05-21,4
319,Bahadurjit Patla,Finance,592225,1,Hyderabad,2024-10-15,1
320,Gautam Merchant,Finance,559286,1,Kolkata,2024-05-16,3
321,Ojasvi Gill,IT,1123563,7,Mumbai,2014-04-27,3
322,Kevin Zacharia,Marketing,612470,3,Delhi,2002-01-24,4
323,Yachana Mahajan,Finance,463410,0,Kolkata,2018-02-11,3
324,Aarini Subramaniam,Sales,471279,0,Kolkata,2026-07-08,3
325,Hamsini Contractor,Marketing,1165836,9,Bengaluru,2014-03-31,2
326,Faqid Dhaliwal,IT,926787,5,Delhi,2019-05-15,4
327,Mekhala Pau,HR,421938,1,Bengaluru,2024-07-15,1
328,Megha Atwal,Operations,883915,7,Chennai,2016-08-21,4
329,Jatin Sha,Marketing,1134390,10,Chennai,2007-12-21,3
330,Adweta Raj,Marketing,1037187,9,Pune,2015-02-14,3
331,Hritik Kaur,Finance,865377,7,Delhi,2015-02-23,4
332,Aryan Narang,Finance,1357951,11,Bengaluru,2015-07-02,3
333,Dev Shetty,Sales,1036469,11,Hyderabad,2011-11-28,2
334,Nilima Dada,Operations,528102,2,Bengaluru,2018-10-03,3
335,Chakradev Barad,Operations,719335,6,Delhi,2006-08-18,3
336,Waida D’Alia,Finance,1409054,13,Hyderabad,2010-11-05,4
337,Wahab Yogi,Operations,1555497,22,Chennai,2004-06-29,3
338,Lipika Setty,Operations,541241,3,Hyderabad,2023-02-27,5
339,Oni Dubey,Sales,558986,0,Mumbai,2026-03-16,4
340,Hardik Suri,Operations,928185,9,Chennai,2013-07-23,3
341,Ati Bali,Sales,772665,4,Chennai,2011-10-15,4
342,Teerth Sawhney,Finance,991931,7,Pune,2015-12-03,4
343,Warinder Patil,Sales,1721472,18,Hyderabad,2007-03-02,4
344,Jhalak Parmer,Finance,570061,2,Delhi,2017-03-07,5
345,Mitali Majumdar,IT,1032683,7,Mumbai,2017-03-27,3
346,Jason Sha,HR,532497,0,Delhi,2025-11-10,2
347,Simon Bail,Marketing,715581,3,Kolkata,2012-06-07,3
348,Gauri Kohli,HR,612213,3,Mumbai,2004-01-21,3
349,Samesh Biswas,Operations,371403,0,Hyderabad,2007-11-13,4
350,Tarak Kaul,Finance,595068,1,Delhi,2023-02-12,3
351,Manbir Agate,IT,1837135,20,Kolkata,2005-09-17,4
352,Maanav De,IT,1169406,13,Pune,2009-07-21,3
353,Owen Choudhary,Finance,868472,9,Delhi,2010-01-21,3
354,Karan Aurora,IT,907668,4,Kolkata,2016-09-23,3
355,Wazir Naik,HR,454484,1,Pune,2024-04-26,2
356,Owen Lanka,HR,535904,2,Bengaluru,2022-04-14,4
357,Jonathan Sama,Sales,862533,5,Hyderabad,2010-05-13,4
358,Devansh Soni,Marketing,633575,1,Bengaluru,2016-05-29,2
359,Janaki Varghese,HR,458046,2,Delhi,2023-02-12,3
360,Siya Thakur,Finance,877158,5,Mumbai,2013-09-04,3
361,Caleb Verma,Sales,686161,3,Bengaluru,2017-10-29,3
362,Tara Balasubramanian,HR,841763,5,Pune,2019-11-20,3
363,Varenya Ratti,IT,883594,5,Chennai,2014-12-07,5
364,Hritik Swaminathan,Finance,1581804,14,Delhi,2008-07-27,3
365,Ethan Buch,Marketing,534835,1,Mumbai,2022-10-27,4
366,Manbir Bhatti,IT,746795,1,Delhi,2025-04-09,2
367,Anvi Nair,Marketing,595455,1,Chennai,2006-09-25,3
368,Chaitaly Setty,HR,1086325,10,Bengaluru,2009-01-29,4
369,Hardik Contractor,Operations,446780,0,Pune,2023-08-17,2
370,Qushi Seth,HR,557793,1,Bengaluru,2024-09-21,3
371,Odika Nori,Operations,936638,11,Delhi,2015-07-11,4
372,Mohini Sagar,Operations,534037,2,Delhi,2011-06-23,4
373,Dhriti Sane,Marketing,529255,2,Delhi,2004-05-27,3
374,Aadhya Prasad,HR,582647,2,Pune,2020-07-22,5
375,Urvi Bhavsar,Finance,690855,1,Pune,2018-07-20,3
376,Frederick Chander,Operations,521687,1,Hyderabad,2017-04-19,3
377,Gopal Pradhan,Operations,335959,0,Delhi,2011-09-09,3
378,Darpan Narayan,Operations,429425,0,Pune,2026-02-14,3
379,Nirja Pandya,Finance,607473,2,Mumbai,2017-03-24,4
380,Charan Mani,IT,745137,4,Chennai,2020-07-03,2
381,Indira Chawla,Marketing,1480398,14,Mumbai,2003-03-17,4
382,Mohammed Subramaniam,HR,1124026,12,Kolkata,2003-09-07,3
383,Hritik Palla,IT,1433032,16,Pune,2007-12-26,5
384,Ishwar Mallick,Marketing,1157628,9,Pune,2016-01-02,3
385,Pushti Bal,Sales,1314300,16,Delhi,2008-02-16,3
386,Ayush Gole,Marketing,1351706,13,Bengaluru,2009-07-22,5
387,Dayamai Nori,Operations,778217,5,Hyderabad,2018-10-18,2
388,Abeer Golla,Finance,1302512,15,Delhi,2009-12-12,4
389,Nandini Boase,HR,458180,0,Hyderabad,2022-06-21,3
390,Azaan Chand,HR,563368,3,Delhi,2019-02-14,4
391,Krisha Saini,Finance,702496,1,Pune,2018-05-06,2
392,Harita Dugar,Sales,419325,0,Pune,2018-08-14,4
393,Devika Nair,Operations,1194944,15,Delhi,2011-06-08,5
394,Charles Dugal,IT,946529,6,Mumbai,2011-03-15,5
395,Chandran Bumb,Finance,1347343,11,Chennai,2012-07-31,3
396,Saanvi Samra,HR,449788,0,Hyderabad,2026-06-19,3
397,Riya Sachdeva,Sales,731567,4,Hyderabad,2015-07-15,3
398,Tanveer Vala,Operations,530490,2,Delhi,2022-10-05,3
399,Hemani Sani,Marketing,650484,4,Kolkata,2011-08-17,5
